meta_analysis,file_name,es_index,metric,yi,sei,vi,meta_k,meta_metric,meta_avgES,meta_medSE,meta_I_sq,meta_FE_est,meta_RE_est,meta_WLS_est,meta_WW_est,meta_PP_est,meta_pow_WL,meta_pow_PP,meta_pow_WW,is_adequately_powered_WLS,is_adequately_powered_PP,is_adequately_powered_WW,power_individual
Balliet68,Balliet68.dta,1,d,0.2,0.05102040816326529,0.0026030820491461876,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.9750021048517796
Balliet68,Balliet68.dta,2,d,0.05,0.0510204081632653,0.0026030820491461885,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.16354305932769242
Balliet68,Balliet68.dta,3,d,0.07,0.05102040816326531,0.0026030820491461893,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.27826614641229774
Balliet68,Balliet68.dta,4,d,0.19,0.05612244897959183,0.003149729279466888,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.9229870747545823
Balliet68,Balliet68.dta,5,d,0.83,0.05612244897959183,0.003149729279466888,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,1
Balliet68,Balliet68.dta,6,d,0.34,0.06632653061224487,0.004399208663057056,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.9992276546362964
Balliet68,Balliet68.dta,7,d,-0.09,0.07142857142857144,0.005102040816326532,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.24196365222307292
Balliet68,Balliet68.dta,8,d,0.2,0.07653061224489795,0.005856934610578924,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.7432292962887327
Balliet68,Balliet68.dta,9,d,0.77,0.07653061224489797,0.005856934610578928,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.9999999999999998
Balliet68,Balliet68.dta,10,d,0.37,0.07653061224489797,0.005856934610578928,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,TRUE,TRUE,TRUE,0.9979777287810747
