file,n_rows,has_es,has_r,has_d,has_g,has_correlation,n_es,n_r,n_d,n_g,n_correlation,es_equals_r,n_both_es_r,max_diff_es_r,es_equals_d,n_both_es_d,max_diff_es_d,es_equals_g,n_both_es_g,max_diff_es_g,es_equals_correlation,n_both_es_corr,max_diff_es_corr,max_abs_es,prop_es_above_1,likely_metric
Balliet68.dta,164,TRUE,FALSE,FALSE,FALSE,FALSE,164,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,0.036585365853658534,d
Balliet83-1.dta,281,TRUE,FALSE,FALSE,FALSE,FALSE,270,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.037037037037037035,d
Balliet83-2.dta,154,TRUE,FALSE,FALSE,FALSE,FALSE,154,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51,0.3116883116883117,d
Balliet83-3.dta,39,TRUE,FALSE,FALSE,FALSE,FALSE,38,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,0.10526315789473684,d
Brewin et al102-1.dta,12,TRUE,FALSE,FALSE,FALSE,FALSE,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0,r
Byron & Khazanchi103-1.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0,r
Cerasoli63.dta,183,TRUE,TRUE,FALSE,FALSE,FALSE,183,183,0,0,0,FALSE,183,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0,r
Chaplin67-1.dta,148,TRUE,FALSE,FALSE,FALSE,FALSE,148,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,0.04054054054054054,d
Chaplin67-2.dta,110,TRUE,FALSE,FALSE,FALSE,FALSE,110,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,0.01818181818181818,d
Chaplin67-3.dta,78,TRUE,FALSE,FALSE,FALSE,FALSE,78,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.01282051282051282,r
Chaplin67-4.dta,111,TRUE,FALSE,FALSE,FALSE,FALSE,111,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0,r
Dregner71.dta,178,TRUE,TRUE,FALSE,FALSE,FALSE,178,178,0,0,0,FALSE,178,0.46125000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0,r
Eastwick et al104-1.dta,106,TRUE,FALSE,FALSE,FALSE,FALSE,73,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0,r
Eastwick et al104-2.dta,73,TRUE,FALSE,FALSE,FALSE,FALSE,73,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0,r
Eastwick et al104-3.dta,138,TRUE,FALSE,FALSE,FALSE,FALSE,138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0,r
Eastwick et al104-4.dta,138,TRUE,FALSE,FALSE,FALSE,FALSE,138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0,r
Else-Quest et al79-1.dta,307,TRUE,FALSE,FALSE,FALSE,FALSE,307,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,0.035830618892508145,d
Else-Quest et al79-2.dta,232,TRUE,FALSE,FALSE,FALSE,FALSE,232,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,0.02586206896551724,d
Else-Quest et al79-3.dta,48,TRUE,FALSE,FALSE,FALSE,FALSE,48,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0,r
Else-Quest et al79-4.dta,93,TRUE,FALSE,FALSE,FALSE,FALSE,93,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,0.010752688172043012,d
Else-Quest et al79-5.dta,17,TRUE,FALSE,FALSE,FALSE,FALSE,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0,r
Fairbain16-1.dta,9,TRUE,FALSE,FALSE,FALSE,FALSE,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0,r
Fairbain16-2.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0,r
Fairbain16-3.dta,15,TRUE,FALSE,FALSE,FALSE,FALSE,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0.06666666666666667,d
Fairbain16-4.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,0,r
Fischer et al 107-1.dta,105,TRUE,FALSE,FALSE,FALSE,FALSE,105,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.019,0.18095238095238095,d
Fox et al81-1.dta,94,TRUE,FALSE,FALSE,FALSE,FALSE,94,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0,r
Fox et al81-2.dta,31,TRUE,FALSE,FALSE,FALSE,FALSE,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0,r
Fox2016-1-1.dta,39,TRUE,FALSE,FALSE,FALSE,FALSE,39,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,0.07692307692307693,d
Fox2016-1-2.dta,77,TRUE,FALSE,FALSE,FALSE,FALSE,77,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.025974025974025976,d
