file,n_rows,has_es,has_r,has_d,has_g,has_correlation,n_es,n_r,n_d,n_g,n_correlation,es_equals_r,n_both_es_r,max_diff_es_r,es_equals_d,n_both_es_d,max_diff_es_d,es_equals_g,n_both_es_g,max_diff_es_g,es_equals_correlation,n_both_es_corr,max_diff_es_corr,max_abs_es,prop_es_above_1,likely_metric
Freund and Kasten76.dta,157,TRUE,FALSE,FALSE,FALSE,FALSE,154,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0,r
Grijalva75-1.dta,44,TRUE,FALSE,FALSE,FALSE,FALSE,44,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0,r
Grijalva75-2.dta,41,TRUE,FALSE,FALSE,TRUE,FALSE,41,0,0,41,0,NA,NA,NA,NA,NA,NA,FALSE,41,0.002544400000000002,NA,NA,NA,0.63,0,r
Grijalva75-3.dta,40,TRUE,FALSE,FALSE,TRUE,FALSE,40,0,0,40,0,NA,NA,NA,NA,NA,NA,FALSE,40,0.0014037000000000077,NA,NA,NA,0.61,0,r
Haedt-Matt106-1.dta,17,TRUE,FALSE,FALSE,FALSE,FALSE,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,0.17647058823529413,d
Haedt-Matt106-2.dta,14,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,0.21428571428571427,d
Haedt-Matt106-3.dta,14,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.07142857142857142,d
Harkin65-1.dta,138,TRUE,FALSE,FALSE,FALSE,FALSE,138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7940345368916795,0.13043478260869565,d
Harkin65-2.dta,138,TRUE,FALSE,FALSE,FALSE,FALSE,138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.392952086553324,0.5797101449275363,d
Johnsen and Friborg61-1.dta,67,TRUE,FALSE,FALSE,FALSE,FALSE,67,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.946,0.8507462686567164,d
Johnsen and Friborg61-2.dta,34,TRUE,FALSE,FALSE,FALSE,FALSE,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.171,0.8823529411764706,d
Karlin53-1.dta,43,TRUE,FALSE,FALSE,FALSE,FALSE,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4803,0,r
Khal70-1.dta,256,TRUE,FALSE,FALSE,FALSE,FALSE,256,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0,r
Khal70-2.dta,251,TRUE,FALSE,FALSE,FALSE,FALSE,251,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,0,r
Khal70-3.dta,238,TRUE,FALSE,FALSE,FALSE,FALSE,238,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0,r
Khal70-4.dta,20,TRUE,FALSE,FALSE,FALSE,FALSE,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0,r
Khal70-5.dta,34,TRUE,FALSE,FALSE,FALSE,FALSE,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0,r
Khal70-6.dta,23,TRUE,FALSE,FALSE,FALSE,FALSE,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0,r
Kim78-2.dta,74,TRUE,FALSE,FALSE,FALSE,FALSE,74,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0,r
Koenig77-1.dta,51,TRUE,FALSE,FALSE,FALSE,FALSE,51,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0,r
Koenig77-2.dta,49,TRUE,FALSE,FALSE,FALSE,FALSE,49,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0,r
Koenig77-3.dta,73,TRUE,FALSE,FALSE,FALSE,FALSE,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11,0.68,d
Koenig77-4.dta,93,TRUE,FALSE,FALSE,FALSE,FALSE,93,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,0.010752688172043012,d
Kredlow2016-2-1.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9250927306496,0.6153846153846154,d
Kredlow2016-2-2.dta,34,TRUE,FALSE,FALSE,FALSE,FALSE,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38298766527606,0.47058823529411764,d
Kredlow2016-2-3.dta,16,TRUE,FALSE,FALSE,FALSE,FALSE,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14199152349068,0.0625,d
Kuykendall56-1.dta,14,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0,r
Kuykendall56-2.dta,49,TRUE,FALSE,FALSE,FALSE,FALSE,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0,r
Kuykendall56-3.dta,42,TRUE,TRUE,FALSE,FALSE,FALSE,42,42,0,0,0,TRUE,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0,r
Lee19-1.dta,114,TRUE,FALSE,FALSE,FALSE,TRUE,114,0,0,0,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,114,0,0.662,0,r
Lervag105-1.dta,57,TRUE,FALSE,FALSE,FALSE,FALSE,57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,0.19298245614035087,d
Lervag105-2.dta,124,TRUE,FALSE,FALSE,FALSE,FALSE,124,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,0.5564516129032258,d
Lervag105-3.dta,51,TRUE,FALSE,FALSE,FALSE,FALSE,51,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,0.11764705882352941,d
Lervag105-4.dta,79,TRUE,FALSE,FALSE,FALSE,FALSE,79,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,0.10126582278481013,d
Lui55-1.dta,62,TRUE,FALSE,FALSE,FALSE,FALSE,62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0,r
Lui55-2.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0,r
Lui55-3.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0,r
Lull13.1.dta,31,TRUE,FALSE,FALSE,FALSE,FALSE,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,0.12903225806451613,d
Lull13.2.dta,19,TRUE,FALSE,FALSE,FALSE,FALSE,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0,r
Lull13.3.dta,10,TRUE,FALSE,FALSE,FALSE,FALSE,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,0.1,r
Lull13.4.dta,11,TRUE,FALSE,FALSE,FALSE,FALSE,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,0.09090909090909091,d
Lull13.5.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0,r
Lull13.6.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0,r
Melby-Lervag85-1.dta,141,TRUE,FALSE,FALSE,FALSE,FALSE,141,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0,r
Melby-Lervag85-2.dta,31,TRUE,FALSE,FALSE,FALSE,FALSE,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0,r
Melby-Lervag85-3.dta,56,TRUE,FALSE,FALSE,FALSE,FALSE,56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0,r
Mendelson74-1.dta,5,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.634,0.4,d
Mendelson74-2.dta,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.897,0.14285714285714285,d
Mol and Bus108-1.dta,20,TRUE,FALSE,FALSE,FALSE,FALSE,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0,r
Mol and Bus108-10.dta,10,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0,r
Mol and Bus108-11.dta,29,TRUE,FALSE,FALSE,FALSE,FALSE,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0.034482758620689655,r
Mol and Bus108-12.dta,17,TRUE,FALSE,FALSE,FALSE,FALSE,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0,r
Mol and Bus108-13.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0,r
Mol and Bus108-2.dta,30,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0,r
Mol and Bus108-3.dta,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0,r
Mol and Bus108-4.dta,30,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0,r
Mol and Bus108-5.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0,r
Mol and Bus108-6.dta,21,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0,r
Mol and Bus108-7.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
Mol and Bus108-8.dta,24,TRUE,FALSE,FALSE,FALSE,FALSE,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0,r
Mol and Bus108-9.dta,9,TRUE,FALSE,FALSE,FALSE,FALSE,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0,r
North-12-1.dta,40,TRUE,FALSE,FALSE,FALSE,FALSE,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,0.075,d
Ottaviani-10-1.dta,10,TRUE,FALSE,FALSE,FALSE,FALSE,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0,r
Ottaviani-10-2.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0,r
Ottaviani-10-3.dta,6,TRUE,FALSE,FALSE,FALSE,FALSE,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0,r
Ottaviani-10-4.dta,11,TRUE,FALSE,FALSE,FALSE,FALSE,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,0.09090909090909091,d
Ottaviani-10-5.dta,21,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,0.047619047619047616,d
Ottaviani-10-6.dta,8,TRUE,FALSE,FALSE,FALSE,FALSE,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0,r
Ottaviani-10-7.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.05555555555555555,d
Ottaviani-10-8.dta,12,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,0.08333333333333333,d
Pahle66-1.dta,33,TRUE,FALSE,FALSE,FALSE,FALSE,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,0.03225806451612903,d
Pahle66-2.dta,34,TRUE,FALSE,FALSE,FALSE,FALSE,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,0.038461538461538464,d
Pan60-1.dta,87,TRUE,FALSE,FALSE,FALSE,FALSE,87,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.608,0.4827586206896552,d
Pool-6.dta,243,TRUE,FALSE,FALSE,FALSE,FALSE,243,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,0.02880658436213992,d
Randall62-1.dta,20,TRUE,FALSE,FALSE,FALSE,FALSE,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0,r
Randall62-3.dta,17,TRUE,FALSE,FALSE,FALSE,FALSE,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0,r
Randall62-4.dta,27,TRUE,FALSE,FALSE,FALSE,FALSE,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0,r
Randall62-5.dta,76,TRUE,FALSE,FALSE,FALSE,FALSE,76,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0,r
Sambrook14-1.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.512949205,0.3076923076923077,d
Sambrook14-2.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.782988538,0.38461538461538464,d
Sambrook14-3.dta,14,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22846894,0.07142857142857142,d
Sambrook14-4.dta,14,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088189339,0.07142857142857142,d
Sedlmeier82-01.dta,12,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0,r
Sedlmeier82-02.dta,30,TRUE,FALSE,FALSE,FALSE,FALSE,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0,r
Sedlmeier82-03.dta,22,TRUE,FALSE,FALSE,FALSE,FALSE,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0,r
Sedlmeier82-04.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0,r
Sedlmeier82-05.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0,r
Sedlmeier82-06.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0,r
Sedlmeier82-07.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0,r
Sedlmeier82-08.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0,r
Sedlmeier82-09.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
Sedlmeier82-10.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0,r
Sedlmeier82-11.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0,r
Sedlmeier82-12.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0,r
Sedlmeier82-13.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0,r
Sedlmeier82-14.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0,r
Sedlmeier82-15.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0,r
Sedlmeier82-16.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0,r
Sedlmeier82-17.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0,r
Sedlmeier82-18.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0,r
Sedlmeier82-19.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0,r
Sedlmeier82-21.dta,175,TRUE,FALSE,FALSE,FALSE,FALSE,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0,r
Sheehan72-1.dta,217,TRUE,FALSE,FALSE,FALSE,FALSE,217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,0.055299539170506916,d
Sheehan72-2.dta,92,TRUE,FALSE,TRUE,FALSE,FALSE,92,0,92,0,0,NA,NA,NA,FALSE,73,1.99,NA,NA,NA,NA,NA,NA,1.99,0.021739130434782608,d
Smith73.dta,80,TRUE,FALSE,FALSE,FALSE,FALSE,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
Soderberg15.1.dta,125,TRUE,FALSE,FALSE,FALSE,FALSE,125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.167904436,0.088,d
Soderberg15.2.dta,179,TRUE,FALSE,FALSE,FALSE,FALSE,179,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.730528133,0.055865921787709494,d
Stumm69-1.dta,9,TRUE,FALSE,FALSE,FALSE,FALSE,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0,r
Stumm69-10.dta,5,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0,r
Stumm69-11.dta,54,TRUE,FALSE,FALSE,FALSE,FALSE,54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
Stumm69-2.dta,5,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0,r
