meta_analysis,meta_metric,k,k_with_data,mean_yi,median_sei
Pan60-1,d,87,87,0.9288735632183907,0.363318042491699
Pool-6,d,243,243,0.33868312757201646,0.16666666666666666
Randall62-1,d,20,20,-0.0915,0.08730159559549654
Randall62-3,d,17,17,0.20058823529411765,0.07759952800750758
Randall62-4,d,27,27,0.2568518518518519,0.1601315248886299
Randall62-5,d,76,76,-0.16256578947368422,0.12151026008014443
Sambrook14-1,d,13,13,-0.7800731486923077,0.350271578292059
Sambrook14-2,d,13,13,-0.9293612175384616,0.35082486811713
Sambrook14-3,d,14,14,-0.4605241577857143,0.305326667838564
Sambrook14-4,d,14,14,-0.4944562066428571,0.29263703849773304
Sedlmeier82-01,d,12,12,0.3641666666666667,0.19707855
Sedlmeier82-02,d,30,30,0.339,0.1413576
Sedlmeier82-03,d,22,22,0.28818181818181815,0.14687735
Sedlmeier82-04,d,175,7,0.31142857142857144,0.1002853
Sedlmeier82-05,d,175,15,0.21066666666666667,0.1718634
Sedlmeier82-06,d,175,18,0.18833333333333332,0.1864361
Sedlmeier82-07,d,175,5,0.28800000000000003,0.1315295
Sedlmeier82-08,d,175,10,0.201,0.1249952
Sedlmeier82-09,d,175,26,0.26884615384615385,0.13048985000000002
Sedlmeier82-10,d,175,21,0.29333333333333333,0.13186610000000001
Sedlmeier82-11,d,175,16,0.32875,0.1186065
Sedlmeier82-12,d,175,27,0.2562962962962963,0.142853
Sedlmeier82-13,d,175,9,0.2511111111111111,0.1645195
Sedlmeier82-14,d,175,15,0.27,0.1062061
Sedlmeier82-15,d,175,12,0.23333333333333334,0.14957195
Sedlmeier82-16,d,175,23,0.22434782608695653,0.1477098
Sedlmeier82-17,d,175,18,0.2638888888888889,0.16400705
Sedlmeier82-18,d,175,16,0.3125,0.1309272
Sedlmeier82-19,d,175,7,0.21714285714285714,0.1883765
Sedlmeier82-21,d,175,9,0.06444444444444446,0.1203317
Sheehan72-1,d,217,217,0.3351152073732719,0.181071492085037
Sheehan72-2,d,92,92,-0.11446739130434785,0.2059144567145887
Smith73,d,80,80,0.196375,0.117960716525499
Soderberg15.1,d,125,125,0.5524249366641284,0.2448979591836735
Soderberg15.2,d,179,179,0.5698404805698324,0.2258652887755102
Stumm69-1,d,9,9,0.05444444444444445,0.06635905536605302
Stumm69-10,d,5,5,0.222,0.09411791443812288
Stumm69-11,d,54,54,0.15314814814814814,0.062338411420951506
Stumm69-2,d,5,5,0.056,0.07269873714844519
Stumm69-3,d,5,5,0.116,0.10973555436544663
Stumm69-4,d,37,37,0.2632432432432432,0.09030202348532702
Stumm69-5,d,10,10,0.222,0.10885325161190981
Stumm69-6,d,15,15,-0.22933333333333333,0.08574929257125442
Stumm69-7,d,42,42,0.2361904761904762,0.08378969027157329
Stumm69-8,d,18,18,0.27,0.07234589514559563
Stumm69-9,d,13,13,0.1776923076923077,0.0741448058146986
Tannenbaum101-1,d,21,21,-0.06238095238095237,0.288979886843358
Toosi et al80-1,d,41,41,0.062439024390243895,0.12228338319841994
Toosi et al80-2,d,32,32,0.0934375,0.11654140699351757
Toosi et al80-3,d,37,37,0.10486486486486483,0.12677132066021668
Toosi et al80-4,d,55,55,0.07799999999999999,0.1071898090884287
