study,instrument,hedges_g,hedges_g_absolute
"Clark, 2003",bdi-1,0.4152177740677668,0.4152177740677668
"Clark, 2003",ces-d,0.7024539763999129,0.7024539763999129
"Clark, 2003",bdi-1,0.5060211764377356,0.5060211764377356
"Clark, 2008",bdi-1,1.093926447653918,1.093926447653918
"Cohen, 2010",hdrs,0.7214015979951516,0.7214015979951516
"Cohen, 2010",bdi-2,0.3519239097761448,0.3519239097761448
"Cooper, 2003",epds,0.4338440111420616,0.4338440111420616
"Cooper, 2003",epds,0.2590834379859168,0.2590834379859168
"Cooper, 2003",epds,0.5259754294754071,0.5259754294754071
"Cramer, 2011",phq-9,0.2475510886775974,0.2475510886775974
"Cuijpers, 2022a",phq-9,0.7325631922859732,0.7325631922859732
"Cuijpers, 2022b",phq-9,0.5767854982060101,0.5767854982060101
"Davoudi, 2020",bdi-1,0.7142265014921643,0.7142265014921643
"De Groot, 2019",bdi-2,0.8669168641530521,0.8669168641530521
"De Groot, 2019",bdi-2,0.6233965404137327,0.6233965404137327
"De Jong, 2018",hdrs,0.09571773899937153,0.09571773899937153
"De Jong, 2018",qids-c,0.01814945442487129,0.01814945442487129
"Dekker, 2012",bdi-2,0.4194447052827207,0.4194447052827207
"Demir, 2022",bdi-1,0.1383590170480164,0.1383590170480164
"Dennis, 2020",epds,1.070648947801611,1.070648947801611
"DeRubeis, 2005",hdrs,0.4548791204000685,0.4548791204000685
"Desautels, 2018",bdi-2,1.205102684376539,1.205102684376539
"Desautels, 2018",hads-d,1.0783899145062,1.0783899145062
"Desautels, 2018",hdrs,0.9334065047777625,0.9334065047777625
"Dimidjian, 2006",hdrs,0.8512342065774011,0.8512342065774011
"Dimidjian, 2006",bdi-1,0.4877172359080529,0.4877172359080529
"Dimidjian, 2006",hdrs,0.9606141976034341,0.9606141976034341
"Dimidjian, 2006",bdi-1,0.9098803970756624,0.9098803970756624
"Dimidjian, 2017",phq-9,0.3336889001210569,0.3336889001210569
"Dindo, 2012",idas-d,1.208037706400873,1.208037706400873
"Dindo, 2012",hdrs,1.098983407548624,1.098983407548624
"Dindo, 2020",hdrs,0.2860628942226108,0.2860628942226108
"Dobkin, 2011",hdrs,1.227810565912924,1.227810565912924
"Dobkin, 2011",bdi-1,1.04757559404602,1.04757559404602
"Dobkin, 2020",hdrs,1.480511286571943,1.480511286571943
"Dobkin, 2020",bdi-1,0.7120410049569073,0.7120410049569073
"Dobkin, 2021",hdrs,0.9316466329160643,0.9316466329160643
"Dobkin, 2021",bdi,0.893054286653272,0.893054286653272
"Doering, 2013",bdi-1,1.154700180507935,1.154700180507935
"Dong, 2019",hdrs,2.501840323418278,2.501840323418278
"Dong, 2019",sds,2.003494865197023,2.003494865197023
"Dowrick, 2000",bdi,0.1800675198050793,0.1800675198050793
"Dowrick, 2000",bdi,0.2453737211522075,0.2453737211522075
"Duarte, 2009",mini,0.8338160933354085,0.8338160933354085
"Duarte, 2009",bdi-1,0.7896820690806156,0.7896820690806156
"Dunn, 2007",bdi-2,0.2330822084219202,0.2330822084219202
"Dunn, 2007",ham-d-18,0.5661795024510926,0.5661795024510926
"Dwight-Johnson, 2011",phq-9,1.963660204441555,1.963660204441555
"Dwight-Johnson, 2011",scl,1.603115871470301,1.603115871470301
"Ebert, 2014",ces-d,0.6905201308736487,0.6905201308736487
"Ebert, 2018",ces-d,0.8383370832126669,0.8383370832126669
"Ebert, 2018",qids-c,0.3997117880949458,0.3997117880949458
"Ebert, 2018",hdrs,0.3459148651534445,0.3459148651534445
"Ede, 2020",ces-d,0.6934428744021484,0.6934428744021484
"Ekers, 2011",bdi-2,1.151795910428421,1.151795910428421
"Ekkers, 2011",qids-sr,1.274064957072372,1.274064957072372
"Ekkers, 2011",gds,0.8986325386414938,0.8986325386414938
"Elkin, 1989",hdrs,0.4304447537479059,0.4304447537479059
"Elkin, 1989",hdrs,0.3165043448463727,0.3165043448463727
"Elkin, 1989",bdi-1,0.2826018724919385,0.2826018724919385
"Elkin, 1989",bdi-1,0.1507172387089112,0.1507172387089112
"Embling, 2002",bdi-1,2.471689631084248,2.471689631084248
"Eseadi, 2018",bdi-2,2.468801876248472,2.468801876248472
"Eseadi, 2022",bdi-2,0.9543268934036536,0.9543268934036536
"Euteneuer, 2017",bdi-2,0.7663466549790754,0.7663466549790754
"Euteneuer, 2017",bdi-2,0.709391747262988,0.709391747262988
"Euteneuer, 2022",bdi-2,0.5532787139790234,0.5532787139790234
"Euteneuer, 2022",madrs-cr,0.5843124292783693,0.5843124292783693
"Evans, 1995",scl,0.9632192740139339,0.9632192740139339
"Evans, 1995",ces-d,0.9152562201976737,0.9152562201976737
"Evans, 1995",scl,0.648055234803775,0.648055234803775
"Evans, 1995",ces-d,0.541718849881029,0.541718849881029
"Ewais, 2021",dass-d,0.853397810669923,0.853397810669923
"Fann, 2015",scl,0.1741787624140567,0.1741787624140567
"Fann, 2015",scl,0.1674520174639579,0.1674520174639579
"Fann, 2015",hdrs,0.1064435974216162,0.1064435974216162
"Fann, 2015",hdrs,0.04484710040789056,0.04484710040789056
"Faramarzi, 2008",bdi-1,1.723276391385613,1.723276391385613
"Fereydouni, 2022",bdi-2,2.770709133393375,2.770709133393375
"Fereydouni, 2022",dass-d,2.580525202405353,2.580525202405353
"Fissler, 2016",bdi,1.174827068067095,1.174827068067095
"Fledderus, 2012",ces-d,0.8900537746082888,0.8900537746082888
"Fledderus, 2012",ces-d,0.7349812845388524,0.7349812845388524
"Floyd, 2004",hdrs,0.8851574399325403,0.8851574399325403
"Floyd, 2004",gds,0.6353495544202702,0.6353495544202702
"Floyd, 2004",hdrs,1.86873080464577,1.86873080464577
"Floyd, 2004",gds,1.256046703016296,1.256046703016296
"Flygare, 2020",madrs-s,0.2305716147447951,0.2305716147447951
"Flygare, 2020",bdi-2,0.2273499818761186,0.2273499818761186
"Folke, 2012",bdi-1,0.6622177866808925,0.6622177866808925
"Fonagy, 2015",bdi-2,0.424521424880216,0.424521424880216
"Fonagy, 2015",hdrs,0.2345769569284749,0.2345769569284749
"Fonagy, 2019",hrsd-17,0.540284219373237,0.540284219373237
"Fonagy, 2019",bdi-2,0.55278661896844,0.55278661896844
"Fonagy, 2019",bsi - depression,0.643699833405646,0.643699833405646
"Fonagy, 2019",hrsd-17,0.16715167997556,0.16715167997556
"Fonagy, 2019",bdi-2,0.291841333576331,0.291841333576331
"Fonagy, 2019",bsi - depression,0.521927659575762,0.521927659575762
"Forand, 2018",phq-9,1.594365085752973,1.594365085752973
"Forand, 2018",hdrs,1.553702003005831,1.553702003005831
"Forsell, 2017",madrs-s,1.210985669391368,1.210985669391368
"Forsell, 2017",epds,0.5197834235735109,0.5197834235735109
"Frangou, 2021",phq-9,-0.07096010315363953,0.07096010315363953
"Freedland, 2009",bdi-1,0.9690491839631918,0.9690491839631918
"Freedland, 2009",hdrs,0.8097428247011927,0.8097428247011927
"Freedland, 2009",bdi-1,0.4973188781345681,0.4973188781345681
"Freedland, 2009",hdrs,0.4486884016755747,0.4486884016755747
"Freedland, 2015",nih,0.7840704293366464,0.7840704293366464
"Freedland, 2015",hdrs,0.6522828356137453,0.6522828356137453
"Freedland, 2015",bdi-2,0.4204958971267003,0.4204958971267003
"Fry, 1983",bdi-1,3.170554054656644,3.170554054656644
"Fry, 1983",bdi-1,1.730681946298246,1.730681946298246
"Fuhr, 2019",phq-9,0.2089686211669164,0.2089686211669164
"Funderburk, 2021",phq-9,0.2226429117656767,0.2226429117656767
"Furukawa, 2012",bdi-2,0.6812876135786358,0.6812876135786358
"Furukawa, 2012",k6,0.6666474309292051,0.6666474309292051
"Garcia-Pena, 2015",phq-9,0.5965468599910114,0.5965468599910114
"Garcia, 2023",bdi-2,0.3669786168830526,0.3669786168830526
"Gawrysiak, 2009",bdi-2,1.656577146059191,1.656577146059191
"Gellis, 2008",hdrs,2.781306408045464,2.781306408045464
"Gellis, 2008",gds,1.089082840666057,1.089082840666057
"Gellis, 2010",bdi-1,0.9648287638209382,0.9648287638209382
"Gellis, 2010",hdrs,0.703470726740356,0.703470726740356
"Geraedts, 2014",ces-d,0.2521614524146035,0.2521614524146035
"Ghorbani, 2021",dass,4.495548830946013,4.495548830946013
"Gibbons, 2012",hdrs,-0.1107669685410499,0.1107669685410499
"Gibbons, 2012",basis-24-d,-0.1326536605213485,0.1326536605213485
"Gitlin, 2013",ces-d,0.5208456615433111,0.5208456615433111
"Gitlin, 2013",phq-9,0.406910673080712,0.406910673080712
"Gold, 2023",madrs,0.435967441843049,0.435967441843049
"Goodman, 2015",epds,0.03387429407587524,0.03387429407587524
"Greenberg, 2018",bdi-2,1.107091370500723,1.107091370500723
"Greenberg, 2018",hdrs,1.049755951791546,1.049755951791546
"Grote, 2009",epds,1.354503873906494,1.354503873906494
"Grote, 2009",bdi-1,1.153632811629888,1.153632811629888
"Gureje, 2022",epds,0.4493089248118198,0.4493089248118198
"Hagen, 2017",bdi-1,2.46768987403917,2.46768987403917
"Hallford, 2016",dass-d,1.249093411786454,1.249093411786454
"Hallgren, 2015",madrs,0.3206798552193937,0.3206798552193937
"Hamamci, 2006",bdi-1,1.40807562013347,1.40807562013347
"Hamamci, 2006",bdi-1,1.401697749126726,1.401697749126726
"Hamdan-Mansour, 2009",bdi-1,0.6322073532595508,0.6322073532595508
"Haringsma, 2006",ces-d,0.4770181147728951,0.4770181147728951
"Haringsma, 2006",hads-d,0.421105396191032,0.421105396191032
"Harley, 2008",hdrs,0.9633032265766385,0.9633032265766385
"Harley, 2008",bdi-1,0.7235309823744511,0.7235309823744511
"Harrer, 2021",ces-d,0.3644586846821299,0.3644586846821299
"Hashemi, 2022",bdi-2,1.77030100885812,1.77030100885812
"Hassiotis, 2013",bdi-1,0.02053021705293892,0.02053021705293892
"Hautzinger, 2004",ids,1.477397950899405,1.477397950899405
"Hautzinger, 2004",scl,0.6948512670747333,0.6948512670747333
"Hautzinger, 2004",gds,0.6480527874385175,0.6480527874385175
"Hayman, 1980",bdi-1,0.4715302727548399,0.4715302727548399
"He, 2019",hdrs,0.4312142386584305,0.4312142386584305
"Heckman, 2011",gds,0.3783415781207618,0.3783415781207618
"Heckman, 2011",gds,0.2481232777204597,0.2481232777204597
"Heckman, 2013",gds,0.461813349549936,0.461813349549936
"Heckman, 2013",gds,-0.003880035513168676,0.003880035513168676
"Heckman, 2017",bdi-1,1.152147610443563,1.152147610443563
"Hegerl, 2010",hdrs,0.9240327556404154,0.9240327556404154
"Heim, 2021",phq-9,0.7019163860089408,0.7019163860089408
"Hemanny, 2019",hdrs,1.285834659400387,1.285834659400387
"Hemanny, 2019",bdi-1,1.242472419195886,1.242472419195886
"Hemanny, 2019",hdrs,1.313603392234068,1.313603392234068
"Hemanny, 2019",bdi-1,1.27053295282912,1.27053295282912
"Hermanns, 2015",ces-d,0.2190183238015389,0.2190183238015389
"Hermanns, 2015",phq-9,0.1829690241840991,0.1829690241840991
"Herrmann-Lingen, 2016",hads-d,0,0
"Heshmati, 2023",WAI-d,1.661349346640786,1.661349346640786
"Hoifodt, 2013",hads-d,0.9235597153110148,0.9235597153110148
"Hoifodt, 2013",bdi-2,0.523364043156444,0.523364043156444
"Holden, 1989",spi,0.7172762890453087,0.7172762890453087
"Honey, 2002",epds,0.3574252298793107,0.3574252298793107
"Horrell, 2014",bdi-2,0.5098072103585578,0.5098072103585578
"Hou, 2014",epds,0.7115002871293837,0.7115002871293837
"Hsiao, 2014",bdi-2,-0.5515858536407859,0.5515858536407859
"Huang, 2016",ces-d,1.952975893507857,1.952975893507857
"Huh, 2023",epds,0.4214102699266879,0.4214102699266879
"Hum, 2019",qids-sr,0.216086900463809,0.216086900463809
"Hum, 2019",nddie,-0.2010392162865564,0.2010392162865564
"Hum, 2019",qids-sr,0.2327015947114962,0.2327015947114962
"Hummel, 2017",hdrs,1.614239646400022,1.614239646400022
"Hummel, 2017",hads-d-severity,1.338671403012322,1.338671403012322
"Hummel, 2017",hads-d,1.187574150655571,1.187574150655571
"Hunter, 2012",bdi-1,0.4194260377101077,0.4194260377101077
"Husain, 2017",hdrs,1.061533217064629,1.061533217064629
"Husain, 2017",epds,0.7222405433109769,0.7222405433109769
"Husain, 2021a",phq-9,1.467590300998616,1.467590300998616
"Husain, 2021a",epds,1.435947211075118,1.435947211075118
"Husain, 2021b",hdrs,3.369266381778142,3.369266381778142
"Husain, 2021b",epds,2.239851972242206,2.239851972242206
"Husain, 2023",epds,0.04855690411497453,0.04855690411497453
"Husain, 2023",phq-9,0.04341757883978872,0.04341757883978872
"Husain, 2023",hamd21,0.01748346144327412,0.01748346144327412
"Jalali, 2019",bdi-2,0.9724071197923432,0.9724071197923432
"Jamison, 1995",hdrs,1.866462831084041,1.866462831084041
"Jamison, 1995",bdi-1,1.320428121497967,1.320428121497967
"Janssen, 2023",qids16sr,0.5511235342066858,0.5511235342066858
"Jarrett, 1999",bdi-1,0.6309608718598634,0.6309608718598634
"Jarrett, 1999",hdrs,0.5290528909087201,0.5290528909087201
"Jelinek, 2016",hdrs,0.5216035907584625,0.5216035907584625
"Jelinek, 2016",bdi-1,0.3762174421218607,0.3762174421218607
"Jesse, 2015",bdi-2,0.4123834961195122,0.4123834961195122
"Jesse, 2015",epds,0.2759623644768757,0.2759623644768757
"Jiang, 2014",epds,1.052306171256045,1.052306171256045
"Johansson, 2012a",bdi-2,1.111149203628312,1.111149203628312
"Johansson, 2012a",phq-9,0.9368068094690061,0.9368068094690061
"Johansson, 2012a",madrs-s,0.8492545228716525,0.8492545228716525
"Johansson, 2012b",bdi-2,0.8261220334830437,0.8261220334830437
"Johansson, 2012b",madrs-s,0.790395736936628,0.790395736936628
"Johansson, 2012b",madrs-s,0.5691129850749519,0.5691129850749519
"Johansson, 2012b",bdi-2,0.5590523281144637,0.5590523281144637
"Johansson, 2019a",madrs-sr,1.585922775368051,1.585922775368051
"Johansson, 2019a",hads-d,1.537862278735175,1.537862278735175
"Johansson, 2019b",phq-9,0.4059519543703836,0.4059519543703836
"Johansson, 2019b",madrs-sr,0.6338284629277215,0.6338284629277215
"Johnson, 2012",hdrs,0.6723943689795968,0.6723943689795968
"Johnson, 2019",qids,0.209118881118881,0.209118881118881
"Johnson, 2019",hdrs,0.1792,0.1792
"Joling, 2011",ces-d,0.1030988302392806,0.1030988302392806
"Jordans, 2019",phq-9,0.4092568073033545,0.4092568073033545
"Kamga, 2017",phq-9,0.4286535343179409,0.4286535343179409
"Kanter, 2015",hdrs,0.1904699420472459,0.1904699420472459
"Kanter, 2015",bdi-2,0.0717843086525647,0.0717843086525647
"Kay-Lambkin, 2009",bdi,0.9280728282750271,0.9280728282750271
"Kay-Lambkin, 2009",bdi,0.5060884224179502,0.5060884224179502
"Keeley, 2016",phq-9,0.4016897854757532,0.4016897854757532
"Kelly, 1993",scl,1.061061557182836,1.061061557182836
"Kelly, 1993",ces-d,0.9556968315286968,0.9556968315286968
"Kelly, 1993",ces-d,0.5313994934101541,0.5313994934101541
"Kelly, 1993",scl,0.462967825240578,0.462967825240578
"Kemmeren, 2023",phq-9,-0.02933914243492013,0.02933914243492013
"Kemmeren, 2023",qids-sr,0.3004279909651764,0.3004279909651764
"Kenter, 2016",ces-d,-0.07312004606427443,0.07312004606427443
"Kessler, 2009",bdi-1,0.6068132435201993,0.6068132435201993
"Khazraee, 2023",bdi-2,2.332316156876885,2.332316156876885
"Khoshbooii, 2021",bdi-2,3.052695834372702,3.052695834372702
"Khoshbooii, 2021",bdi-2,3.13082737227314,3.13082737227314
"Kim, 2018",hads-d,0.9401931228145967,0.9401931228145967
"Kim, 2018",poms,0.697173998013046,0.697173998013046
"King, 2000",bdi-1,0.4898890489185174,0.4898890489185174
"King, 2000",bdi-1,0.3412596187926366,0.3412596187926366
"Kivi, 2014",bdi-1,-0.15705752940781,0.15705752940781
"Korrelboom, 2012",bdi-2,0.7862312755685554,0.7862312755685554
"Korte, 2012",ces-d,0.5060658240665212,0.5060658240665212
"Kramer, 2014",ces-d,0.324214601708599,0.324214601708599
"Kramer, 2021",ces-d,0.518193516109849,0.518193516109849
"Laidlaw, 2008",hdrs,0.4603117452088165,0.4603117452088165
"Laidlaw, 2008",bdi-2,0.3984678985463259,0.3984678985463259
"Laidlaw, 2008",gds,0.3883901059159547,0.3883901059159547
"Lamers, 2010",bdi-1,0.2552105082201297,0.2552105082201297
"Lamers, 2015",ces-d,0.3437961866841152,0.3437961866841152
"Landreville, 1997",bdi-1,0.3267767817632,0.3267767817632
"Landreville, 1997",idd,0.3055493731014517,0.3055493731014517
"Landreville, 1997",gds,0.2751339426481743,0.2751339426481743
"Lappalainen, 2015",bdi-2,0.6247423208983884,0.6247423208983884
"Larcombe, 1984",bdi-1,3.06872095373343,3.06872095373343
"Larcombe, 1984",hdrs,2.404512291954206,2.404512291954206
"Lee, 2021",ces-d,0.5215690889216613,0.5215690889216613
"Lee, 2021",hdrs,0.3977370490245239,0.3977370490245239
"Lemma, 2013",phq-9,-0.1150192256660836,0.1150192256660836
"Lemma, 2013",phq-9,-0.2689863761981623,0.2689863761981623
"Lenze, 2017",epds,-0.4145331082375266,0.4145331082375266
"Lenze, 2020",epds,-0.1350433480178431,0.1350433480178431
"Lerner, 2015",phq-9,0.5965582342858101,0.5965582342858101
"Leung, 2013",epds,0.7280261253571844,0.7280261253571844
"Leung, 2013",hads-d,-0.07711203400068652,0.07711203400068652
"Leung, 2016",epds,0.2523037346758341,0.2523037346758341
"Leung, 2016",hads-d,0.05846668363825708,0.05846668363825708
"Lexis, 2011",bdi-2,0.3414857984262045,0.3414857984262045
"Lexis, 2011",hads-d,0.2166470827783031,0.2166470827783031
"Liang, 2021",phq-9,0.7067937008083414,0.7067937008083414
"Liang, 2021",sss - depressive subscale,0.4013880786975484,0.4013880786975484
"Linde, 2011",scl,0.1485039518707357,0.1485039518707357
"Liu, 2009",bdi-2,0.2929017737853726,0.2929017737853726
"Liu, 2021",hdrs,1.626460311848144,1.626460311848144
"Liu, 2021",epds,1.346223698209017,1.346223698209017
"Liu, 2023",hdrs-24,1.685608194106501,1.685608194106501
"Liu, 2024",phq-9,2.408405840534415,2.408405840534415
"Lloyd-Williams, 2018",phq-9,0.1288114325579612,0.1288114325579612
"Lök, 2019",csdd,1.760031099318941,1.760031099318941
"Losada, 2015",ces-d,0.9186000196522545,0.9186000196522545
"Losada, 2015",ces-d,0.7830773025045787,0.7830773025045787
"Lovell, 2008",bdi-2,0.2729013535851805,0.2729013535851805
"Lovell, 2008",phq-9,0.08973566353640923,0.08973566353640923
"Lund, 2020",hdrs,0.03984558009691476,0.03984558009691476
"Lundgren, 2016",phq-9,0.2652767144882913,0.2652767144882913
"Lustman, 1998",bdi-1,0.8458339950030912,0.8458339950030912
"Lynch, 1997",hdrs,0.929958266602528,0.929958266602528
"Lynch, 2004",bdi-1,0.4367518322046733,0.4367518322046733
"Lynch, 2004",bdi-1,0.09702982182828582,0.09702982182828582
"Lynch, 2004",dhp-d,-0.06267402296190774,0.06267402296190774
"Lynch, 2004",dhp-d,-0.2918030317589653,0.2918030317589653
"Lynch, 2020",hdrs,0.4522679113245456,0.4522679113245456
"Lynch, 2020",phq-9,0.4304877283615202,0.4304877283615202
"MacLean, 2020",phq-9,0.1704545454545454,0.1704545454545454
"MacPherson, 2013",phq-9,0.2781906822191301,0.2781906822191301
"MacPherson, 2013",bdi-2,0.181047664117501,0.181047664117501
"Mahmoodi, 2021",bdi-2,1.142759602062137,1.142759602062137
"Mahmoodi, 2021",bdi-2,1.332608966627495,1.332608966627495
"Maina, 2005",hdrs,1.153455716650386,1.153455716650386
"Maina, 2005",hdrs,1.088127801944622,1.088127801944622
"Majidzadeh, 2023",bdi,4.860789657685203,4.860789657685203
"Malouff, 1988",bdi-1,1.496233245596939,1.496233245596939
"Malouff, 1988",poms-d,1.271329676804907,1.271329676804907
"Malouff, 1988",poms-d,1.398419423680047,1.398419423680047
