study,instrument,hedges_g,hedges_g_absolute
"Aagaard, 2017",bdi-1,0,0
"Abas, 2018",phq-9,0.7104177676450967,0.7104177676450967
"Abas, 2018",dssq,0.5516490259343738,0.5516490259343738
"Abbas, 2023a",phq-9,2.218472559511621,2.218472559511621
"Abbas, 2023b",phq-9,2.150929257120074,2.150929257120074
"Afonso, 2009",ces-d,2.817357462771133,2.817357462771133
"Afonso, 2009",ces-d,2.116787724867555,2.116787724867555
"Aguilar-Raab, 2023",hdrs-17,0.6304747188321391,0.6304747188321391
"Ahmadpanah, 2016",bdi-1,1.778867747750905,1.778867747750905
"Ahmadpanah, 2016",bdi-1,1.568191281941832,1.568191281941832
"Alexopoulos, 2016",hdrs,-0.2151834906292421,0.2151834906292421
"Alhusen, 2021",epds,1.45689151068139,1.45689151068139
"Allart van Dam, 2003",bdi-1,0.5696379303814292,0.5696379303814292
"Amani, 2021",epds,1.307353050551577,1.307353050551577
"Amano, 2023",hdrs-17,-0.0274439338904152,0.0274439338904152
"Amano, 2023",bdi-2,-0.03204689987903108,0.03204689987903108
"Ammerman, 2013",bdi-2,0.9439886890186913,0.9439886890186913
"Ammerman, 2013",epds,0.8818797262674432,0.8818797262674432
"Ammerman, 2013",hdrs,0.7810537604533173,0.7810537604533173
"Andersson, 2005",bdi-1,0.9544522520231028,0.9544522520231028
"Andersson, 2005",madrs-s,0.7899660882476782,0.7899660882476782
"Araya, 2021",phq-9,0.3957256916026307,0.3957256916026307
"Araya, 2021",phq-9,0.2650994751778469,0.2650994751778469
"Arean, 1993",hdrs,0.5331612858260181,0.5331612858260181
"Arean, 1993",bdi-1,0.5134986394018022,0.5134986394018022
"Arean, 1993",gds,0.3169001489253121,0.3169001489253121
"Arean, 1993",hdrs,2.372397825624415,2.372397825624415
"Arean, 1993",gds,0.848818280888214,0.848818280888214
"Arean, 1993",bdi-1,0.8348533761566674,0.8348533761566674
"Arjadi, 2018",phq-9,0.3886445870980115,0.3886445870980115
"Au, 2022",bdi-2,0.3693171433747223,0.3693171433747223
"Ayen, 2004",ids,4.237411080881307,4.237411080881307
"Ayen, 2004",ids,4.007738931333748,4.007738931333748
"Ayen, 2004",bdi-1,3.381681097046884,3.381681097046884
"Ayen, 2004",bdi-1,3.36,3.36
"Ayen, 2004",ids,2.292730502666655,2.292730502666655
"Ayen, 2004",ids,2.170229008363794,2.170229008363794
"Ayen, 2004",bdi-1,1.768812071448717,1.768812071448717
"Ayen, 2004",bdi-1,1.713271925966938,1.713271925966938
"Baker, 2010",bdi-2,-0.0846540509280823,0.0846540509280823
"Baker, 2010",bdi-2,0.195214455008255,0.195214455008255
"Barber, 2012",hdrs,0.09893355469310135,0.09893355469310135
"Barnhofer, 2009",bdi-2,0.9150468054531782,0.9150468054531782
"Barrett, 2001",hdrs,0.270056935486176,0.270056935486176
"Basirat, 2022",bdi-2,0.9708366726871214,0.9708366726871214
"Baumeister, 2021",qids,0.2791261375102611,0.2791261375102611
"Baumeister, 2021",hdrs-17,0.213812285331136,0.213812285331136
"Baumeister, 2021",phq-9,0.445813726797858,0.445813726797858
"Baumgartner, 2021",ces-d,0.3175759680242314,0.3175759680242314
"Baumgartner, 2021",ces-d,0.2802349650576587,0.2802349650576587
"Beach, 1992",bdi-1,1.343789668932797,1.343789668932797
"Beach, 1992",bdi-1,1.003279823024522,1.003279823024522
"Bedard, 2014",bdi-2,0.5177281170495313,0.5177281170495313
"Bedard, 2014",phq-9,0.4138377822596936,0.4138377822596936
"Bedard, 2014",scl,0.1324252248844083,0.1324252248844083
"Beeber, 2010",ces-d,0.77409980792219,0.77409980792219
"Bendig, 2021",phq-9,0.3154514732058731,0.3154514732058731
"Bengtson, 2023",epds,0.5193657280748367,0.5193657280748367
"Berger, 2011",bdi-2,1.125274725274725,1.125274725274725
"Berger, 2011",bdi-2,0.6540989545266531,0.6540989545266531
"Berman, 2022",phq-9,0.9441603349489438,0.9441603349489438
"Berman, 2022",hdrs,1.021550526338202,1.021550526338202
"Beutel, 2014",scid,0.5190917906863807,0.5190917906863807
"Bilich, 2008",dass-d,0.7812237615892043,0.7812237615892043
"Bilich, 2008",bdi-2,0.7396042969888661,0.7396042969888661
"Boele, 2018",ces-d,0.6102799193478488,0.6102799193478488
"Boele, 2021",ces-d,-0.007185291430540221,0.007185291430540221
"Boeschoten, 2017",bdi-2,0.07777490676573282,0.07777490676573282
"Bohlmeijer, 2011",ces-d,0.5964694241591396,0.5964694241591396
"Bolton, 2003",hscl-d,1.316749279747847,1.316749279747847
"Bower, 2021",ces-d,0.2355574541831425,0.2355574541831425
"Bower, 2021",ces-d,0.04523090267190013,0.04523090267190013
"Bowman, 1995",bdi-1,1.479110587910231,1.479110587910231
"Bowman, 1995",hdrs,1.101217574916833,1.101217574916833
"Bowman, 1995",hdrs,0.9604653901031702,0.9604653901031702
"Bowman, 1995",bdi-1,0.9344787386129594,0.9344787386129594
"Braun, 2021",qids-sr16,0.2806605219562046,0.2806605219562046
"Brown, 1984",bdi-1,0.4465639774530238,0.4465639774530238
"Brown, 1984",ces-d,0.4170800571254878,0.4170800571254878
"Brown, 1984",ces-d,0.3716863044865616,0.3716863044865616
"Brown, 1984",bdi-1,0.2763873625834966,0.2763873625834966
"Brown, 1984",ces-d,0.6172549635815937,0.6172549635815937
"Brown, 1984",bdi-1,0.2200493863141666,0.2200493863141666
"Buhrman, 2015",madrs-s,0.2970004352097492,0.2970004352097492
"Buntrock, 2015",ces-d,0.6583983296659768,0.6583983296659768
"Burns, 2007",gds,0.4035544432436979,0.4035544432436979
"Burns, 2013",cis-r,0.9537812748814242,0.9537812748814242
"Burns, 2013",epds,0.9393099653086772,0.9393099653086772
"Burns, 2013",phq-9,0.89676319962651585,0.89676319962651585
"Carlbring, 2013",bdi-2,0.8545813598644367,0.8545813598644367
"Carlbring, 2013",madrs-s,0.6330426121098734,0.6330426121098734
"Carpenter, 2008",hdrs-29,-0.208663760766951,0.208663760766951
"Carpenter, 2008",bdi-2,-0.4671340886768437,0.4671340886768437
"Carr, 2017",bdi-2,0.3986298525316526,0.3986298525316526
"Carr, 2017",madrs-s,0.3142913782657401,0.3142913782657401
"Carr, 2017",hdrs,0.2959869676761782,0.2959869676761782
"Carta, 2012",bdi-1,0.248029997930288,0.248029997930288
"Casanas, 2012",bdi-1,0.2870044121966394,0.2870044121966394
"Castonguay, 2004",bdi-1,1.840724217620877,1.840724217620877
"Castonguay, 2004",hdrs,1.65035813332865,1.65035813332865
"Chan, 2012",bdi-2,2.672111669232705,2.672111669232705
"Chan, 2012",bdi-2,1.484912362763436,1.484912362763436
"Chan, 2012",hdrs,0.6853985973384675,0.6853985973384675
"Chan, 2012",hdrs,0.6043107813657841,0.6043107813657841
"Chan, 2013",gds,1.431781494987926,1.431781494987926
"Chen, 2000",bdi-1,0.5978305087041934,0.5978305087041934
"Chesney, 2003",ces-d,0.1592277069304057,0.1592277069304057
"Chesney, 2003",ces-d,0.03210468133681862,0.03210468133681862
"Chiang, 2015",hdrs,4.820400798638661,4.820400798638661
"Chiang, 2015",bdi-2,3.598534804785224,3.598534804785224
"Cho, 2008",bdi-1,1.044081752044613,1.044081752044613
"Choi, 2012",bdi-1,0.8934931877711558,0.8934931877711558
"Choi, 2012",phq-9,0.4805137495292436,0.4805137495292436
"Choi, 2012",k-10,0.2755539181252772,0.2755539181252772
"Choi, 2014",hdrs,0.3046595631658395,0.3046595631658395
"Choi, 2014",hdrs,0.498836416205436,0.498836416205436
"Choi, 2020b",hdrs-24,1.046067081631449,1.046067081631449
"Choi, 2020b",hdrs-24,0.6473482044130874,0.6473482044130874
"Chowdhary, 2016",bdi-1,0.4504179768485387,0.4504179768485387
"Choy, 2016",gds,0.9926348972068993,0.9926348972068993
"Cladder-Micus, 2018",ids-sr,0.4263023799323654,0.4263023799323654
"Clark, 2003",ces-d,0.5344142597776642,0.5344142597776642
