study,effect_type,meta_analysis_number,SEmed,studies,n,mean,median
"Baas et al., 2016 depress",r,51.1,0.177,34,39,-0.135,-0.14
"Baas et al., 2016 bipolar",r,51.2,0.165,24,28,0.453,0.465
Fox,d,1.1,0.287,38,39,0.542,0.49
Fox,d,1.2,0.24,79,88,0.363,0.33
Kredlow,d,2.1,0.52,6,13,0.865,1.224
Kredlow,d,2.3,0.334,8,16,0.357,0.37
Kredlow,d,2.2,0.475,10,34,0.359,0.214
Orquium,r,3.1,0.282,35,44,0.669,0.572
Phillips,r,5.1,0.181,68,68,0.17,0.171
Phillips,r,5.2,0.161,135,135,-0.129,-0.06
Phillips,r,5.3,0.181,84,84,0.274,0.272
Phillips,r,5.4,0.181,212,212,0.232,0.303
Pool,d,6.1,0.167,152,243,0.339,0.31
Weingarten,d,8.1,0.295,134,352,0.372,0.402
Williams,d,52.1,0.236,21,28,0.028,0.058
Williams,d,52.2,0.23,13,19,-0.271,-0.264
Williams,d,52.3,0.267,37,50,-0.086,-0.086
Karlin,r,53.1,0.181,34,42,0.231,0.179
Vucasovic,r,54.1,0.143,45,54,0.858,0.953
Lui,r,55.1,0.185,53,62,-0.404,-0.43
Lui,r,55.2,0.143,6,8,-0.211,-0.171
Lui,r,55.3,0.193,18,18,0.519,0.527
Williams,d,52.4,0.183,21,22,0.01,-0.018
Williams,d,52.5,0.166,12,12,-0.591,-0.587
Williams,d,52.6,0.198,42,50,-0.204,-0.102
Kuykendall,r,56.1,0.139,12,14,0.865,0.939
Kuykendall,r,56.2,0.142,32,49,0.539,0.583
Kuykendall,r,56.3,0.15,36,42,0.772,0.926
Houben,r,57.1,0.241,52,414,-0.357,-0.327
Houben,r,57.2,0.21,22,146,-0.426,-0.415
Houben,r,57.3,0.26,16,113,-0.14,-0.08
Houben,r,57.4,0.21,21,120,0.265,0.249
Defoe,d,7.3,0.291,12,14,0.239,0.15
Defoe,d,7.4,0.283,18,23,0.408,0.42
Defoe,d,7.2,0.283,18,21,-0.042,0.1
Defoe,d,7.1,0.3,9,12,0.13,0.055
Landau,r,9.1,0.258,22,55,0.571,0.606
Lull,d,13.1,0.074,24,31,-0.39,-0.36
Lull,d,13.2,0.071,18,19,-0.088,-0.2
Lull,d,13.3,0.086,8,10,-0.376,-0.435
Lull,d,13.4,0.063,10,11,-0.32,-0.22
Lull,d,13.5,0.065,8,8,-0.151,-0.215
Lull,d,13.6,0.063,12,13,0.052,0.16
Mazei,d,8.1,0.3,45,121,0.169,0.14
North,d,12.1,0.117,35,40,-0.285,-0.28
Ottaviani,d,10.2,0.325,8,8,0.349,0.32
Ottaviani,d,10.3,0.3,6,6,0.347,0.425
Ottaviani,d,10.4,0.26,10,11,0.555,0.38
Ottaviani,d,10.1,0.28,10,10,0.226,0.24
Ottaviani,d,10.5,0.25,19,21,0.301,0.17
Ottaviani,d,10.6,0.21,8,8,0.315,0.31
Ottaviani,d,10.7,0.19,16,18,0.146,0.12
Ottaviani,d,10.8,0.255,11,12,0.497,0.305
Winer,d,11.1,0.291,45,156,0.256,0.274
Winer,d,11.2,0.307,41,98,-0.115,-0.08
Winer,d,11.3,0.093,33,84,-0.045,-0.024
Winer,d,11.4,0.094,31,68,0.036,0.012
Winer,d,11.5,0.101,42,115,0.069,0.132
Winer,d,11.6,0.101,37,87,-0.069,-0.051
