study,effect_type,meta_analysis_number,SEmed,studies,n,mean,median
Wanberg,r,58.1,0.08,51,51,-0.219,-0.201
Wanberg,r,58.2,0.042,17,18,0.311,0.314
Wanberg,r,58.3,0.147,15,16,0.021,-0.06
Wanberg,r,58.4,0.137,55,58,-0.145,-0.125
Wanberg,r,58.5,0.138,24,25,-0.153,-0.04
Wanberg,r,58.6,0.14,25,25,-0.036,-0.02
Verhage,r,59.2,0.285,69,83,0.631,0.606
Verhage,r,59.1,0.252,42,47,0.419,0.345
Pan,d,60.1,0.363,36,87,0.929,0.957
Johnsen and Friborg,d,61.1,0.247,67,67,1.667,1.627
Johnsen and Friborg,d,61.2,0.256,34,34,1.791,1.703
Randall,r,62.1,0.175,20,20,-0.184,-0.161
Randall,r,62.3,0.156,17,17,0.409,0.516
Randall,r,62.4,0.324,27,27,0.532,0.494
Randall,r,62.5,0.245,56,76,-0.33,-0.355
Cerasoli,r,63.1,0.152,159,183,0.489,0.473
Voyer and Voyer,d,64.1,0.112,205,258,0.277,0.253
Voyer and Voyer,d,64.2,0.092,24,26,0.245,0.223
Voyer and Voyer,d,64.3,0.106,56,81,0.351,0.366
Voyer and Voyer,d,64.4,0.116,75,93,0.135,0.122
Voyer and Voyer,d,64.5,0.106,28,31,0.131,0.095
Voyer and Voyer,d,64.6,0.119,11,13,0.291,0.205
Harkin,d,65.1,0.229,128,138,0.484,0.293
Harkin,d,65.2,0.274,126,138,2.091,2.114
Pahle,d,66.1,0.131,17,31,0.118,0.05
Pahle,d,66.2,0.079,17,26,0.147,0.055
Chaplin,d,67.1,0.232,88,148,-0.113,-0.06
Chaplin,d,67.2,0.213,77,110,-0.124,-0.065
Chaplin,d,67.3,0.203,56,78,0.098,0.115
Chaplin,d,67.4,0.247,71,111,0.028,0.07
Balliet,d,68.1,0.214,62,164,0.3,0.27
Stumm,r,69,0.189,3,5,0.455,0.345
Stumm,r,69.1,0.133,5,9,0.109,0.1
Stumm,r,69.2,0.146,4,5,0.112,0.12
Stumm,r,69.3,0.221,4,5,0.234,0.12
Stumm,r,69.4,0.181,19,37,0.546,0.539
Stumm,r,69.5,0.219,3,10,0.455,0.572
Stumm,r,69.6,0.172,8,15,-0.471,-0.583
Stumm,r,69.7,0.168,34,42,0.486,0.494
Stumm,r,69.8,0.145,14,18,0.561,0.583
Stumm,r,69.9,0.149,8,13,0.361,0.324
Stumm,r,69.11,0.125,39,54,0.31,0.242
Khal,r,70.1,0.155,256,256,1.165,1.094
Khal,r,70.2,0.173,251,251,1.079,0.953
Khal,r,70.3,0.146,238,238,1.086,1.008
Khal,r,70.4,0.153,20,20,0.402,0.44
Khal,r,70.5,0.163,34,34,0.271,0.252
Khal,r,70.6,0.163,23,23,0.445,0.451
Dregner,r,71.1,0.106,46,178,0.58,0.578
Sheehan,d,72.1,0.181,159,217,0.335,0.27
Sheehan,d,72.2,0.206,74,92,-0.114,-0.16
Smith,r,73.1,0.238,74,80,0.401,0.408
Fairbain,d,16.1,0.347,8,9,0.018,0.16
Fairbain,d,16.2,0.276,14,18,0.024,0
Fairbain,d,16.3,0.306,13,15,0.557,0.51
Fairbain,d,16.4,0.25,15,18,0.534,0.525
Sambrook,d,14.1,0.35,9,13,-0.78,-0.757
Sambrook,d,14.2,0.351,9,13,-0.929,-0.853
Sambrook,d,14.3,0.305,13,14,-0.461,-0.4
Sambrook,d,14.4,0.293,13,14,-0.494,-0.366
Soderberg/Saunderberg,d,15.1,0.245,59,125,0.552,0.488
Soderberg/Saunderberg,d,15.2,0.226,76,179,0.57,0.518
Lee,r,19.1,0.11,83,114,0.715,0.735
Mendelson,d,74.1,0.262,5,5,-3.29,-0.834
Mendelson,d,74.2,0.321,7,7,-1.093,-0.726
Grijalva,d,75.1,0.125,33,44,0.291,0.31
Grijalva,d,75.2,0.11,8,41,0.216,0.22
Grijalva,d,75.3,0.114,40,40,0.059,0.015
Freund and Kasten,r,76,0.161,39,154,0.675,0.664
Koenig,r,77.1,0.201,13,51,1.479,1.461
Koenig,r,77.2,0.201,38,49,0.486,0.387
Koenig,d,77.3,0.2,29,50,1.45,1.345
Koenig,r,77.4,0.202,35,93,0,0.06
Kim et al,r,78,0.14,69,86,0.942,0.953
Else-Quest et al,d,79.1,0.176,236,307,-0.278,-0.3
Else-Quest et al,d,79.2,0.167,178,232,-0.284,-0.315
Else-Quest et al,d,79.3,0.173,33,48,-0.635,-0.635
Else-Quest et al,d,79.4,0.1,48,93,0,0.03
Else-Quest et al,d,79.5,0.125,13,17,-0.036,-0.09
Toosi et al,r,80.1,0.246,36,41,0.125,0
Toosi et al,r,80.2,0.235,29,32,0.188,0.221
Toosi et al,r,80.3,0.256,32,37,0.211,0.12
Toosi et al,r,80.4,0.216,42,55,0.156,0.161
fox et al,r,81.1,0.342,55,94,0.122,0.12
fox et al,r,81.2,0.368,18,31,0.734,0.676
Sedlmeier,r,82.01,0.402,12,12,0.782,0.606
Sedlmeier,r,82.02,0.286,30,30,0.721,0.629
Sedlmeier,r,82.03,0.297,22,22,0.602,0.451
Sedlmeier,r,82.04,0.202,7,7,0.655,0.561
Sedlmeier,r,82.05,0.349,15,15,0.431,0.43
Sedlmeier,r,82.06,0.38,18,18,0.384,0.387
Sedlmeier,r,82.07,0.265,5,5,0.601,0.494
Sedlmeier,r,82.08,0.252,10,10,0.41,0.419
Sedlmeier,r,82.09,0.263,26,26,0.558,0.583
Sedlmeier,r,82.1,0.266,21,21,0.614,0.539
Sedlmeier,r,82.11,0.239,16,16,0.696,0.711
Sedlmeier,r,82.12,0.289,27,27,0.53,0.516
Sedlmeier,r,82.13,0.334,9,9,0.519,0.43
Sedlmeier,r,82.14,0.214,15,15,0.561,0.606
Sedlmeier,r,82.15,0.303,12,12,0.48,0.539
Sedlmeier,r,82.16,0.299,23,23,0.46,0.494
Sedlmeier,r,82.17,0.333,18,18,0.547,0.595
Sedlmeier,r,82.18,0.264,16,16,0.658,0.652
Sedlmeier,r,82.19,0.384,7,7,0.445,0.561
Sedlmeier,r,82.21,0.242,9,9,0.129,0.06
Balliet,d,83.1,0.214,147,268,-0.028,0
Balliet,d,83.2,0.23,45,153,0.768,0.61
Balliet,d,83.3,0.403,20,35,-0.019,-0.285
Melby-Lervag,r,85.1,0.185,141,141,1.284,1.317
Melby-Lervag,r,85.2,0.21,31,31,0.907,1.094
Melby-Lervag,r,85.3,0.191,56,56,0.692,0.652
Vachon,r,100.1,0.184,85,103,-0.174,-0.221
Tannenbaum,d,101.1,0.289,11,21,-0.062,0
Brewin et al,r,102.1,0.262,9,11,0.098,0
Byron & Khazanchi,r,103.1,0.153,8,8,0.188,0.15
Eastwick et al,r,104.1,0.197,48,73,0.217,0.161
Eastwick et al,r,104.2,0.185,47,73,0.253,0.201
Eastwick et al,r,104.3,0.204,81,138,0.784,0.834
Eastwick et al,r,104.4,0.202,75,138,0.724,0.699
Lervag,d,105.1,0.058,57,57,-0.648,-0.57
Lervag,d,105.2,0.071,124,124,-1.134,-1.08
Lervag,d,105.3,0.062,51,51,-0.057,-0.07
Lervag,d,105.4,0.06,79,79,-0.147,-0.13
Haedt-Matt,d,106.1,0.2,17,17,0.693,0.61
Haedt-Matt,d,106.2,0.195,14,14,0.716,0.585
Haedt-Matt,d,106.3,0.2,13,14,0.522,0.54
Fischer et al,d,107.1,0.335,50,105,-0.418,-0.422
Mol and Bus,r,108.01,0.191,11,20,0.686,0.641
Mol and Bus,r,108.02,0.201,7,13,0.557,0.561
Mol and Bus,r,108.03,0.221,5,7,0.702,0.747
Mol and Bus,r,108.04,0.221,5,12,0.456,0.44
Mol and Bus,r,108.05,0.262,18,18,1.103,1.094
Mol and Bus,r,108.06,0.303,21,21,0.825,0.926
Mol and Bus,r,108.07,0.252,18,18,0.566,0.572
Mol and Bus,r,108.08,0.242,24,24,0.865,0.822
Mol and Bus,r,108.09,0.262,9,9,0.999,1.008
Mol and Bus,r,108.1,0.252,8,8,0.387,0.451
Mol and Bus,r,108.11,0.303,29,29,1.365,1.54
Mol and Bus,r,108.12,0.201,17,17,0.938,0.822
Mol and Bus,r,108.13,0.14,8,8,0.451,0.451
Kim et al,r,78.2,0.173,50,74,0.564,0.505
